北桥	uxst
表示层	gfnf
差错控制	uqrr
产品经理	ukxg
产品运营	ukfa
长进程	tftk
城域网	ffmq
存取路径	dbkt
带通	gkce
带通信号	gcwk
单工	ujaa
单工通信	uacw
等高线图	tyxl
笛卡尔积	thqt
电子邮件	jbmw
短进程	tftk
段页	wddm
对等层	ctnf
多核	qqsy
多线程	qxtk
反置页表	rldg
非码	djdc
分布式	wdaa
分用	wvet
辅存	lgdh
复用	tjet
公用信号量	wewf
广域网	yfmq
候选码	wtdc
互斥信号量	grwf
会话层	wynf
集函数	wbov
计算机网络	ytsg
记为	ynyl
交互式	ugaa
进程管理	fttg
进程同步	ftmh
可视化	spwx
理发师问题	gnjm
灵活性	vint
流量控制	ijrr
南桥	fmst
盘块号	tfkg
全上界	whlw
全下界	wglw
热力图	rllt
散点矩阵	ahtb
时分复用	jwte
时间片法	juti
数据报	orrb
数据轨迹	orly
数据链路层	orqi
私用信号量	tewf
同步信号量	mhwf
网际层	mbnf
网际协议	mbfy
网络层	mxnf
网络协议	mxfy
微观调度	tcyy
物理层	tgnf
信道复用	wute
页内地址	dmff
异构性	nsnt
应用层	yenf
应用进程	yeft
运输层	flnf
折线图	rxlt
知到	tdgc
直方图	fylt
指令集	rwwy
子格	bbst
安全测试	pwiy
安卓版本	phts
安卓测试	phiy
白盒测试	rwiy
表单提交	guru
测试报告	iyrt
测试策略	iytl
测试对接	iycr
测试方案	iyyp
测试方法	iyyi
测试更新	iygu
测试工程师	iyah
测试环境	iygf
测试计划	iyya
测试脚本	iyes
测试结果	iyxj
测试类	iyod
测试理论	iygy
测试流程	iyit
测试用例	iyew
禅道	pyut
产品方案	ukyp
产品原型	ukdg
代码走查	wdfs
发版测试	ntiy
更新发布	gund
更新卸载	gurf
功能测试	aciy
功能模块	acsf
黑盒测试	lwiy
集成测试	wdiy
兼容性测试	upng
接口测试	rkiy
可靠性测试	stng
软件测试	lwiy
生产环境	tugf
数据库测试	oryg
提交测试	ruiy
性能测试	nciy
型图	galt
需求评审	ffyp
需求整理	ffgg
游戏测试	iciy
自动化测试	tfwg
